Name,ID,Tecs Used by Group,Associated Groups
BRONZE BUTLER,G0060,"['T1548', 'T1087', 'T1071', 'T1560', 'T1547', 'T1059', 'T1132', 'T1005', 'T1039', 'T1140', 'T1189', 'T1573', 'T1203', 'T1083', 'T1574', 'T1562', 'T1070', 'T1105', 'T1036', 'T1027', 'T1003', 'T1566', 'T1018', 'T1053', 'T1113', 'T1518', 'T1007', 'T1124', 'T1080', 'T1550', 'T1204', 'T1102']","REDBALDKNIGHT, Tick"
Carbanak,G0008,"['T1543', 'T1562', 'T1036', 'T1219', 'T1218', 'T1078', 'T1102']","Anunak, Carbon Spider"
Charming Kitten,G0058,[],
Chimera,G0114,"['T1087', 'T1560', 'T1059', 'T1133', 'T1105', 'T1036', 'T1556', 'T1106', 'T1027', 'T1003', 'T1021', 'T1053', 'T1078', 'T1102', 'T1047']",
Cleaver,G0003,"['T1587', 'T1585', 'T1557', 'T1003']","Threat Group 2889, TG-2889"
Cobalt Group,G0080,"['T1548', 'T1071', 'T1547', 'T1037', 'T1059', 'T1543', 'T1573', 'T1203', 'T1068', 'T1070', 'T1105', 'T1559', 'T1046', 'T1027', 'T1566', 'T1055', 'T1572', 'T1219', 'T1021', 'T1053', 'T1218', 'T1518', 'T1204', 'T1220']","Cobalt Gang, Cobalt Spider"
CopyKittens,G0052,"['T1560', 'T1059', 'T1564', 'T1218', 'T1553']",
Dark Caracal,G0070,"['T1071', 'T1547', 'T1059', 'T1005', 'T1189', 'T1083', 'T1027', 'T1566', 'T1113', 'T1218', 'T1204', 'T1476', 'T1437']",
Darkhotel,G0012,"['T1547', 'T1059', 'T1140', 'T1189', 'T1056', 'T1027', 'T1566', 'T1057', 'T1091', 'T1518', 'T1553', 'T1082', 'T1016', 'T1080', 'T1204']",
DarkHydrus,G0079,"['T1059', 'T1187', 'T1564', 'T1566', 'T1221', 'T1204']",
DarkVishnya,G0105,"['T1110', 'T1059', 'T1543', 'T1200', 'T1046', 'T1135', 'T1040', 'T1571', 'T1219']",
Deep Panda,G0009,"['T1059', 'T1546', 'T1564', 'T1027', 'T1057', 'T1021', 'T1018', 'T1505', 'T1218', 'T1047']","Shell Crew, WebMasters, KungFu Kittens, PinkPanther, Black Vine"
Dragonfly,G0035,"['T1189', 'T1566', 'T1195']","TG-4192, Crouching Yeti, IRON LIBERTY, Energetic Bear"
